value,error_size
1.984029482320481463e+01,0.000000000000000000e+00
2.161967460243109329e+01,0.000000000000000000e+00
1.881287635612440567e+01,0.000000000000000000e+00
2.423490707804313615e+01,0.000000000000000000e+00
2.174682949953578870e+01,0.000000000000000000e+00
1.805874448209784688e+01,0.000000000000000000e+00
2.203204576273858351e+01,0.000000000000000000e+00
1.935405458794572908e+01,0.000000000000000000e+00
1.715007388926246179e+01,0.000000000000000000e+00
2.331561894814799629e+01,0.000000000000000000e+00
2.076160224577354541e+01,0.000000000000000000e+00
2.339013484707526302e+01,0.000000000000000000e+00
1.746864714121850071e+01,0.000000000000000000e+00
1.927950286684904313e+01,0.000000000000000000e+00
2.195302899543064612e+01,0.000000000000000000e+00
2.468427535501527714e+01,0.000000000000000000e+00
2.215536082442038079e+01,0.000000000000000000e+00
2.466930341898041235e+01,0.000000000000000000e+00
2.197393462677633735e+01,0.000000000000000000e+00
2.198295848361373928e+01,0.000000000000000000e+00
2.146425835834795848e+01,0.000000000000000000e+00
1.995477122419145033e+01,0.000000000000000000e+00
1.780251146150492403e+01,0.000000000000000000e+00
1.884672323398305238e+01,0.000000000000000000e+00
2.054592089831732338e+01,0.000000000000000000e+00
2.119750779400301255e+01,0.000000000000000000e+00
1.582264841108062825e+01,0.000000000000000000e+00
2.357312362568909236e+01,0.000000000000000000e+00
1.883872778616122545e+01,0.000000000000000000e+00
2.354257647351384009e+01,0.000000000000000000e+00
2.301442693999009492e+01,0.000000000000000000e+00
2.022975877179386117e+01,0.000000000000000000e+00
2.668866164335287294e+01,0.000000000000000000e+00
2.337038617659278117e+01,0.000000000000000000e+00
2.097961571075528653e+01,0.000000000000000000e+00
2.211125221294603449e+01,0.000000000000000000e+00
2.019941388855441389e+01,0.000000000000000000e+00
2.161605092105840242e+01,0.000000000000000000e+00
2.181528759338343804e+01,0.000000000000000000e+00
1.675479336821446452e+01,0.000000000000000000e+00
1.560812278043701085e+01,0.000000000000000000e+00
2.033760226751816802e+01,0.000000000000000000e+00
1.720705893798606212e+01,0.000000000000000000e+00
1.943346021731006701e+01,0.000000000000000000e+00
2.128448033669282324e+01,0.000000000000000000e+00
1.964821007887483972e+01,0.000000000000000000e+00
2.058934605720916267e+01,0.000000000000000000e+00
2.056400565073770892e+01,0.000000000000000000e+00
2.086847693019024064e+01,0.000000000000000000e+00
2.166770630794467323e+01,0.000000000000000000e+00
1.797635998382304123e+01,0.000000000000000000e+00
2.210694933270495000e+01,0.000000000000000000e+00
2.187595427788716407e+01,0.000000000000000000e+00
1.640401669986161437e+01,0.000000000000000000e+00
1.958205040037569944e+01,0.000000000000000000e+00
1.850867899912487147e+01,0.000000000000000000e+00
2.189065458033639899e+01,0.000000000000000000e+00
1.706960659283719295e+01,0.000000000000000000e+00
2.023245643067998500e+01,0.000000000000000000e+00
1.972063225905336736e+01,0.000000000000000000e+00
2.342603432470870217e+01,0.000000000000000000e+00
2.274695635540081184e+01,0.000000000000000000e+00
2.030946289193652632e+01,0.000000000000000000e+00
2.053723680059579237e+01,0.000000000000000000e+00
1.783444383271334033e+01,0.000000000000000000e+00
1.734776015509242342e+01,0.000000000000000000e+00
1.943435813651464983e+01,0.000000000000000000e+00
1.885553230187555940e+01,0.000000000000000000e+00
2.054250774699703186e+01,0.000000000000000000e+00
1.890507816574237054e+01,0.000000000000000000e+00
1.887680963923904542e+01,0.000000000000000000e+00
2.168475266812898283e+01,0.000000000000000000e+00
1.826142917961127310e+01,0.000000000000000000e+00
2.027049608905739575e+01,0.000000000000000000e+00
2.197692792918500260e+01,0.000000000000000000e+00
2.078231991205578666e+01,0.000000000000000000e+00
2.241825280321025815e+01,0.000000000000000000e+00
1.815802562609826865e+01,0.000000000000000000e+00
2.020086138271829057e+01,0.000000000000000000e+00
2.252132528650246002e+01,0.000000000000000000e+00
1.790072766834526874e+01,0.000000000000000000e+00
1.799977643886540690e+01,0.000000000000000000e+00
2.124945088642839508e+01,0.000000000000000000e+00
2.062252701496965201e+01,0.000000000000000000e+00
1.984506548963964789e+01,0.000000000000000000e+00
2.310844523274072415e+01,0.000000000000000000e+00
1.698288802929682717e+01,0.000000000000000000e+00
1.449520758546710653e+01,0.000000000000000000e+00
2.278362529275024073e+01,0.000000000000000000e+00
1.850980863436632262e+01,0.000000000000000000e+00
2.001192753633501198e+01,0.000000000000000000e+00
1.999305675108083236e+01,0.000000000000000000e+00
2.313813293955474393e+01,0.000000000000000000e+00
2.155323547601229706e+01,0.000000000000000000e+00
2.262853474146759680e+01,0.000000000000000000e+00
2.247443460181071373e+01,0.000000000000000000e+00
1.945284926115065005e+01,0.000000000000000000e+00
2.048244287078630066e+01,0.000000000000000000e+00
2.265559701475423182e+01,0.000000000000000000e+00
2.001204455913528690e+01,0.000000000000000000e+00
