value,error,error_size
1.957024092736532594e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.977908619459395112e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.595256678878165602e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.308746196680320750e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.759423778795939697e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.074956006332987712e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.082899183935836263e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.704581030513726603e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.907710721360634309e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.252776787175940854e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.091555219626296491e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.991268416228853866e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.030368293068013585e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.187890103043718071e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.124798482031659219e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.950273764704796164e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.928211298848621169e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.050563013868668705e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.852360727657513451e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.955877636370301786e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.014420465548800721e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.228369578619858871e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.905976747528558946e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.701018599460300962e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.027709203230883261e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.162594258689914284e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.043689508656524367e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.142152297316008713e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.737069672498978079e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.797657008569738224e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.079550753636831573e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.087175310853321619e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.798338990751949495e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.001730169284617489e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.848438944993639410e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.729331394086970874e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.164370239932138062e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.374489870629119181e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.270613356429126029e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.412900611205437684e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.854801309686652644e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.807705333331558961e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.985266039359350643e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.259076821031075966e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.055170409207044102e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.295428300738125316e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.987317465494342628e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.943758701632298269e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.106110174093709020e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.778968719043500002e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.990775366870436969e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.264692559546776707e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.121187980040882692e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.122605980599463038e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.064063818251577587e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.143984964721654052e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.069274732579746612e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.878801121921195261e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.860883687975167078e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.988845618891924971e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.059556178965034690e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.185553993596034417e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.091167802198612335e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.050908881231193348e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.805666689260160496e+01,0.000000000000000000e+00,0.000000000000000000e+00
