value,error_size
2.262165871025125696e+01,0.000000000000000000e+00
1.995274529570306399e+01,0.000000000000000000e+00
1.983147110969099103e+01,0.000000000000000000e+00
1.645248551481104471e+01,0.000000000000000000e+00
1.952094850603108966e+01,0.000000000000000000e+00
2.233770837858889280e+01,0.000000000000000000e+00
2.324741955176016006e+01,0.000000000000000000e+00
2.125407552059041194e+01,0.000000000000000000e+00
1.956753961990702706e+01,0.000000000000000000e+00
1.982616395643129081e+01,0.000000000000000000e+00
1.697953947229682115e+01,0.000000000000000000e+00
1.850110897432881529e+01,0.000000000000000000e+00
2.024641812197875979e+01,0.000000000000000000e+00
1.743697136227727995e+01,0.000000000000000000e+00
1.895559975702486710e+01,0.000000000000000000e+00
2.473017687935329434e+01,0.000000000000000000e+00
1.575976122617147368e+01,0.000000000000000000e+00
1.963210956499985826e+01,0.000000000000000000e+00
2.008744733103181090e+01,0.000000000000000000e+00
1.701215232849476067e+01,0.000000000000000000e+00
2.010568102443806993e+01,0.000000000000000000e+00
1.901314511626624437e+01,0.000000000000000000e+00
1.797345528705591633e+01,0.000000000000000000e+00
2.156990892467667464e+01,0.000000000000000000e+00
2.037412200396429540e+01,0.000000000000000000e+00
2.109056359999280872e+01,0.000000000000000000e+00
2.020029181643705130e+01,0.000000000000000000e+00
1.918411438189865237e+01,0.000000000000000000e+00
1.851642646687863092e+01,0.000000000000000000e+00
2.048346456000274785e+01,0.000000000000000000e+00
1.703178240010632294e+01,0.000000000000000000e+00
2.045366948375654559e+01,0.000000000000000000e+00
2.248044349261122221e+01,0.000000000000000000e+00
1.970540549463366986e+01,0.000000000000000000e+00
1.809156292230794705e+01,0.000000000000000000e+00
1.728708621700815939e+01,0.000000000000000000e+00
1.949073545878821889e+01,0.000000000000000000e+00
1.818850470997763935e+01,0.000000000000000000e+00
1.984667496501287687e+01,0.000000000000000000e+00
2.017232416692949215e+01,0.000000000000000000e+00
2.097196806483977127e+01,0.000000000000000000e+00
1.711922049156996195e+01,0.000000000000000000e+00
2.011239891664193280e+01,0.000000000000000000e+00
2.260480462706935967e+01,0.000000000000000000e+00
1.878665557544635334e+01,0.000000000000000000e+00
1.698166925355743828e+01,0.000000000000000000e+00
1.996184772136827590e+01,0.000000000000000000e+00
1.574258772607302248e+01,0.000000000000000000e+00
1.825632955413008673e+01,0.000000000000000000e+00
1.823358933875238108e+01,0.000000000000000000e+00
1.953316876927659251e+01,0.000000000000000000e+00
1.912609995485156134e+01,0.000000000000000000e+00
2.068639165497092947e+01,0.000000000000000000e+00
1.748165387571254925e+01,0.000000000000000000e+00
1.901590855979378603e+01,0.000000000000000000e+00
1.961200273753086165e+01,0.000000000000000000e+00
1.764126216067693775e+01,0.000000000000000000e+00
2.095997037227851933e+01,0.000000000000000000e+00
1.735059842805321040e+01,0.000000000000000000e+00
2.167594024030997701e+01,0.000000000000000000e+00
2.432923586900261625e+01,0.000000000000000000e+00
1.982991057850789574e+01,0.000000000000000000e+00
2.080426894893525969e+01,0.000000000000000000e+00
1.806666504705020770e+01,0.000000000000000000e+00
1.978592540072111916e+01,0.000000000000000000e+00
1.658922265201190172e+01,0.000000000000000000e+00
1.806350434829924723e+01,0.000000000000000000e+00
2.377784030020883677e+01,0.000000000000000000e+00
2.197561493975369729e+01,0.000000000000000000e+00
2.283384180621299109e+01,0.000000000000000000e+00
1.878312012111153351e+01,0.000000000000000000e+00
1.628527898146327857e+01,0.000000000000000000e+00
1.800378883229173255e+01,0.000000000000000000e+00
2.315017357740844162e+01,0.000000000000000000e+00
1.751707567606468885e+01,0.000000000000000000e+00
2.132056464165480136e+01,0.000000000000000000e+00
1.852335422617245442e+01,0.000000000000000000e+00
1.907816147463062961e+01,0.000000000000000000e+00
2.102926863382915101e+01,0.000000000000000000e+00
