value,error,error_size
1.964338364896679678e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.089549995559568174e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.959367143616502815e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.894201944448429842e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.400017266052705978e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.903984864675173228e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.088314581279324500e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.585141070649019213e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.844722464755353997e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.661055270057639532e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.192772292848979632e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.879161020955752193e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.078478958750696748e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.326981121123770535e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.031414544508325903e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.902715337410467811e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.846772796382563797e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.976952514174763920e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.148902267623947537e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.004670309915641724e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.881893650348191471e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.862292963644818045e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.116298815426224778e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.944667902539256232e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.924351416177801610e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.182047959262983383e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.800062763507728647e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.631994039865365309e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.108263545198054700e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.125556760926693656e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.685933800056880472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.978391638356556115e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.845338696424411751e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.263087747313565501e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.049042691568711660e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.874642214591670708e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.065810271834101641e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.987308029836089673e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.717151756587502831e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.064350689995670507e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.185823999611312729e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.048156897112596297e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.229890095775304815e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.265901445017009763e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.092851519020024043e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.944504347526226695e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.173910827792555622e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.155377909091618349e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.903108414719105568e+01,0.000000000000000000e+00,0.000000000000000000e+00
