value,error_size
2.015591661848338134e+01,0.000000000000000000e+00
1.833902465270601567e+01,0.000000000000000000e+00
1.822875058549280780e+01,0.000000000000000000e+00
2.003201002288392019e+01,0.000000000000000000e+00
2.175614488252898582e+01,0.000000000000000000e+00
1.712848275325050551e+01,0.000000000000000000e+00
2.351394740681696405e+01,0.000000000000000000e+00
2.130712680017561311e+01,0.000000000000000000e+00
2.324162294727124234e+01,0.000000000000000000e+00
2.212451864792300071e+01,0.000000000000000000e+00
2.182667011430243065e+01,0.000000000000000000e+00
1.980709706041411167e+01,0.000000000000000000e+00
1.846277872783520380e+01,0.000000000000000000e+00
1.875814211961888844e+01,0.000000000000000000e+00
2.115901918038500540e+01,0.000000000000000000e+00
2.075008169249670331e+01,0.000000000000000000e+00
2.145036408889561486e+01,0.000000000000000000e+00
2.007586275123297881e+01,0.000000000000000000e+00
1.854239669490856812e+01,0.000000000000000000e+00
2.029248252579109391e+01,0.000000000000000000e+00
2.022576644136174551e+01,0.000000000000000000e+00
2.060688911458201389e+01,0.000000000000000000e+00
2.028943269490875068e+01,0.000000000000000000e+00
1.732991536906425623e+01,0.000000000000000000e+00
2.061314041276184383e+01,0.000000000000000000e+00
1.866723509731108166e+01,0.000000000000000000e+00
1.726838295624889241e+01,0.000000000000000000e+00
2.114798968487558994e+01,0.000000000000000000e+00
1.773096726192849104e+01,0.000000000000000000e+00
2.142395671687998160e+01,0.000000000000000000e+00
2.168688192564166783e+01,0.000000000000000000e+00
1.922673932327226254e+01,0.000000000000000000e+00
2.267732592592087570e+01,0.000000000000000000e+00
2.244847848277591851e+01,0.000000000000000000e+00
2.049993121829265519e+01,0.000000000000000000e+00
1.983772145021578481e+01,0.000000000000000000e+00
2.276406296635216364e+01,0.000000000000000000e+00
2.213579639057168080e+01,0.000000000000000000e+00
1.878070999452704726e+01,0.000000000000000000e+00
2.003337855629898812e+01,0.000000000000000000e+00
1.610227259041772285e+01,0.000000000000000000e+00
1.873059269973788332e+01,0.000000000000000000e+00
2.152009193503209517e+01,0.000000000000000000e+00
1.988907962678240438e+01,0.000000000000000000e+00
2.040343052845743088e+01,0.000000000000000000e+00
2.069350192355242513e+01,0.000000000000000000e+00
1.864620879162162836e+01,0.000000000000000000e+00
2.088956135516748347e+01,0.000000000000000000e+00
1.847694950802217306e+01,0.000000000000000000e+00
1.990997309310439078e+01,0.000000000000000000e+00
1.827698004064230020e+01,0.000000000000000000e+00
2.246808848554463722e+01,0.000000000000000000e+00
2.032848732768039923e+01,0.000000000000000000e+00
1.972023289531124846e+01,0.000000000000000000e+00
1.840894756574241597e+01,0.000000000000000000e+00
1.603927359676050202e+01,0.000000000000000000e+00
2.107564007236736359e+01,0.000000000000000000e+00
2.300636823226944472e+01,0.000000000000000000e+00
2.079636111217724093e+01,0.000000000000000000e+00
1.852089010616957765e+01,0.000000000000000000e+00
2.041091252578933535e+01,0.000000000000000000e+00
1.568389317055528664e+01,0.000000000000000000e+00
1.760322899478818925e+01,0.000000000000000000e+00
1.921228494374311779e+01,0.000000000000000000e+00
2.188194860976380340e+01,0.000000000000000000e+00
2.008725156496205599e+01,0.000000000000000000e+00
1.467206302385323369e+01,0.000000000000000000e+00
2.006905795603221776e+01,0.000000000000000000e+00
1.989554725292110504e+01,0.000000000000000000e+00
1.727869411779748887e+01,0.000000000000000000e+00
2.040095704240410512e+01,0.000000000000000000e+00
1.697870523978161117e+01,0.000000000000000000e+00
1.835262764358774490e+01,0.000000000000000000e+00
1.626087757413185031e+01,0.000000000000000000e+00
2.021097499504992356e+01,0.000000000000000000e+00
1.755871288102684957e+01,0.000000000000000000e+00
2.063631218359720521e+01,0.000000000000000000e+00
1.710748677450076372e+01,0.000000000000000000e+00
2.051086828790424121e+01,0.000000000000000000e+00
1.860185999806352797e+01,0.000000000000000000e+00
1.874277495975423591e+01,0.000000000000000000e+00
2.011041074842495036e+01,0.000000000000000000e+00
2.094706560600602074e+01,0.000000000000000000e+00
1.873294108868645580e+01,0.000000000000000000e+00
1.870654633693338198e+01,0.000000000000000000e+00
1.692142087835759767e+01,0.000000000000000000e+00
2.364443817945553050e+01,0.000000000000000000e+00
1.845706590282750881e+01,0.000000000000000000e+00
1.698979106369790060e+01,0.000000000000000000e+00
1.979967861799260120e+01,0.000000000000000000e+00
1.782317051162344512e+01,0.000000000000000000e+00
1.955381222849794653e+01,0.000000000000000000e+00
2.171161056502100095e+01,0.000000000000000000e+00
1.932411277429610408e+01,0.000000000000000000e+00
1.783528678504024612e+01,0.000000000000000000e+00
1.939608917067621974e+01,0.000000000000000000e+00
1.684838320957947388e+01,0.000000000000000000e+00
2.059470708891248591e+01,0.000000000000000000e+00
2.079342543554063738e+01,0.000000000000000000e+00
1.807531542350664111e+01,0.000000000000000000e+00
2.136339372425732108e+01,0.000000000000000000e+00
1.887245607008333437e+01,0.000000000000000000e+00
2.310167379673223209e+01,0.000000000000000000e+00
1.738370757981931547e+01,0.000000000000000000e+00
2.064564170540157662e+01,0.000000000000000000e+00
2.081874814302473808e+01,0.000000000000000000e+00
1.998040927681143941e+01,0.000000000000000000e+00
1.757446908864646318e+01,0.000000000000000000e+00
7.235193094467233266e+01,0.000000000000000000e+00
6.738369170587829160e+01,0.000000000000000000e+00
6.648380384576363156e+01,0.000000000000000000e+00
6.542742732757419333e+01,0.000000000000000000e+00
6.806404182720102369e+01,0.000000000000000000e+00
7.049332395874833423e+01,0.000000000000000000e+00
6.852003071280090296e+01,0.000000000000000000e+00
6.578501034732963149e+01,0.000000000000000000e+00
6.760672485882030003e+01,0.000000000000000000e+00
6.594623672950582716e+01,0.000000000000000000e+00
6.897339748367295442e+01,0.000000000000000000e+00
6.909920585419691008e+01,0.000000000000000000e+00
8.247494921009847246e+01,0.000000000000000000e+00
7.731766504195736900e+01,0.000000000000000000e+00
7.802045807574734226e+01,0.000000000000000000e+00
7.605229406770780543e+01,0.000000000000000000e+00
7.789223414612069973e+01,0.000000000000000000e+00
7.813737782039923729e+01,0.000000000000000000e+00
8.118034013121686598e+01,0.000000000000000000e+00
7.926281508389162411e+01,0.000000000000000000e+00
7.713834576745273353e+01,0.000000000000000000e+00
8.035687511533380700e+01,0.000000000000000000e+00
7.972406026962948999e+01,0.000000000000000000e+00
7.478617346042967995e+01,0.000000000000000000e+00
7.851930172781034400e+01,0.000000000000000000e+00
8.282591963698126847e+01,0.000000000000000000e+00
8.061643274261609804e+01,0.000000000000000000e+00
7.917833689641781802e+01,0.000000000000000000e+00
7.742896066984317827e+01,0.000000000000000000e+00
7.948897753644557440e+01,0.000000000000000000e+00
7.731653631332189036e+01,0.000000000000000000e+00
8.109763102181611316e+01,0.000000000000000000e+00
7.828760270997615578e+01,0.000000000000000000e+00
7.853402579035963527e+01,0.000000000000000000e+00
8.559355730843334698e+01,0.000000000000000000e+00
8.066625662184713974e+01,0.000000000000000000e+00
7.984474482482357871e+01,0.000000000000000000e+00
8.144102858988341609e+01,0.000000000000000000e+00
7.765884682374161230e+01,0.000000000000000000e+00
7.749468642757516079e+01,0.000000000000000000e+00
8.110070683475053954e+01,0.000000000000000000e+00
7.937758004623461261e+01,0.000000000000000000e+00
8.110180045339120625e+01,0.000000000000000000e+00
7.678271117282707792e+01,0.000000000000000000e+00
7.977634984114860117e+01,0.000000000000000000e+00
8.098643751343466590e+01,0.000000000000000000e+00
8.224337373378811833e+01,0.000000000000000000e+00
7.692337935595480758e+01,0.000000000000000000e+00
7.855036520100475173e+01,0.000000000000000000e+00
7.943558233550372449e+01,0.000000000000000000e+00
8.420073890485852530e+01,0.000000000000000000e+00
8.446500613117802914e+01,0.000000000000000000e+00
7.636668707896085095e+01,0.000000000000000000e+00
8.253377792085863973e+01,0.000000000000000000e+00
7.887356963135854926e+01,0.000000000000000000e+00
8.003753426335096322e+01,0.000000000000000000e+00
7.757193528609421662e+01,0.000000000000000000e+00
8.402514181464964338e+01,0.000000000000000000e+00
7.889496262468975374e+01,0.000000000000000000e+00
8.260998458514964682e+01,0.000000000000000000e+00
7.793718956175409573e+01,0.000000000000000000e+00
7.734008982372917274e+01,0.000000000000000000e+00
7.903824866030043950e+01,0.000000000000000000e+00
7.972898018237799533e+01,0.000000000000000000e+00
8.083727784982517051e+01,0.000000000000000000e+00
8.083601416115246252e+01,0.000000000000000000e+00
8.028871124621930733e+01,0.000000000000000000e+00
7.938789565894676059e+01,0.000000000000000000e+00
8.066543953791931187e+01,0.000000000000000000e+00
7.964670831046626631e+01,0.000000000000000000e+00
7.893368847639408159e+01,0.000000000000000000e+00
8.164614888746285715e+01,0.000000000000000000e+00
7.721258039932135375e+01,0.000000000000000000e+00
7.592809769305779355e+01,0.000000000000000000e+00
7.871525585238033784e+01,0.000000000000000000e+00
8.026414386464148265e+01,0.000000000000000000e+00
7.800620570137546395e+01,0.000000000000000000e+00
7.600942147431351259e+01,0.000000000000000000e+00
7.953120155343432884e+01,0.000000000000000000e+00
7.897832590935442454e+01,0.000000000000000000e+00
7.966748518630754461e+01,0.000000000000000000e+00
8.065508730627202283e+01,0.000000000000000000e+00
8.190485377934585642e+01,0.000000000000000000e+00
8.062954320344088899e+01,0.000000000000000000e+00
7.794827608901285032e+01,0.000000000000000000e+00
7.957795452830674776e+01,0.000000000000000000e+00
8.077921091741193038e+01,0.000000000000000000e+00
7.977720900224821321e+01,0.000000000000000000e+00
7.923479121845724649e+01,0.000000000000000000e+00
8.086195577019712744e+01,0.000000000000000000e+00
8.111500439404242968e+01,0.000000000000000000e+00
8.090546315913333331e+01,0.000000000000000000e+00
8.138932435416789701e+01,0.000000000000000000e+00
8.058007880669801182e+01,0.000000000000000000e+00
8.228408801046857945e+01,0.000000000000000000e+00
7.770500344763073031e+01,0.000000000000000000e+00
7.938791639009177459e+01,0.000000000000000000e+00
8.229777461752240697e+01,0.000000000000000000e+00
8.002651614576774364e+01,0.000000000000000000e+00
7.849020244499905630e+01,0.000000000000000000e+00
8.203752836819316485e+01,0.000000000000000000e+00
7.819104376117589084e+01,0.000000000000000000e+00
7.956100877645720004e+01,0.000000000000000000e+00
8.164402480554392127e+01,0.000000000000000000e+00
7.785022428012040052e+01,0.000000000000000000e+00
7.926257384658121907e+01,0.000000000000000000e+00
8.153216131013006418e+01,0.000000000000000000e+00
8.305229040236234539e+01,0.000000000000000000e+00
3.203898275440747767e+01,0.000000000000000000e+00
3.066435321611073306e+01,0.000000000000000000e+00
3.224378025139620263e+01,0.000000000000000000e+00
2.733427779511317723e+01,0.000000000000000000e+00
3.482722623869760525e+01,0.000000000000000000e+00
3.541789025032282012e+01,0.000000000000000000e+00
3.191091377907952165e+01,0.000000000000000000e+00
3.153927953296283349e+01,0.000000000000000000e+00
2.939903526119691435e+01,0.000000000000000000e+00
3.232451094331462116e+01,0.000000000000000000e+00
3.253728025762836751e+01,0.000000000000000000e+00
3.388192564061263568e+01,0.000000000000000000e+00
2.221770151739463728e+01,0.000000000000000000e+00
2.441850091059021466e+01,0.000000000000000000e+00
2.408944400600593383e+01,0.000000000000000000e+00
1.942484947153367614e+01,0.000000000000000000e+00
2.008305381311209104e+01,0.000000000000000000e+00
2.206495719716491521e+01,0.000000000000000000e+00
1.814119937861478604e+01,0.000000000000000000e+00
2.811926718950220661e+01,0.000000000000000000e+00
2.192525323839615226e+01,0.000000000000000000e+00
2.161234920652237079e+01,0.000000000000000000e+00
2.159292820706540539e+01,0.000000000000000000e+00
1.891027531546971829e+01,0.000000000000000000e+00
1.789443379679067192e+01,0.000000000000000000e+00
2.131063405243276421e+01,0.000000000000000000e+00
2.040517126471068110e+01,0.000000000000000000e+00
1.768973404853255715e+01,0.000000000000000000e+00
1.879599925775948321e+01,0.000000000000000000e+00
2.115490274107941815e+01,0.000000000000000000e+00
2.256712451782448881e+01,0.000000000000000000e+00
1.994762365976322016e+01,0.000000000000000000e+00
2.030652664826008902e+01,0.000000000000000000e+00
1.959163020851499581e+01,0.000000000000000000e+00
1.786465247148408153e+01,0.000000000000000000e+00
2.117919300308228969e+01,0.000000000000000000e+00
1.840170985849648844e+01,0.000000000000000000e+00
1.836226857332009033e+01,0.000000000000000000e+00
1.768598545536183053e+01,0.000000000000000000e+00
1.879266621161226425e+01,0.000000000000000000e+00
2.192619333603299125e+01,0.000000000000000000e+00
2.129226267096304781e+01,0.000000000000000000e+00
1.975601819989840280e+01,0.000000000000000000e+00
1.894208687103532895e+01,0.000000000000000000e+00
1.846418841583566817e+01,0.000000000000000000e+00
2.141653547940651237e+01,0.000000000000000000e+00
1.782994512661764830e+01,0.000000000000000000e+00
1.753401697201703513e+01,0.000000000000000000e+00
2.048760132102172093e+01,0.000000000000000000e+00
1.993219411490532167e+01,0.000000000000000000e+00
1.929250785043734240e+01,0.000000000000000000e+00
2.129333977696802549e+01,0.000000000000000000e+00
1.723784655596206861e+01,0.000000000000000000e+00
2.279692610914505835e+01,0.000000000000000000e+00
2.005585867133028799e+01,0.000000000000000000e+00
2.178673973257614449e+01,0.000000000000000000e+00
2.393796233428347264e+01,0.000000000000000000e+00
2.131837212511010904e+01,0.000000000000000000e+00
1.827436071437033149e+01,0.000000000000000000e+00
1.828030808282812103e+01,0.000000000000000000e+00
1.738373677816862894e+01,0.000000000000000000e+00
2.086004102781428315e+01,0.000000000000000000e+00
1.832724476954475890e+01,0.000000000000000000e+00
1.996728962332077018e+01,0.000000000000000000e+00
2.181779890218186679e+01,0.000000000000000000e+00
2.101830423766351785e+01,0.000000000000000000e+00
1.913485936682281974e+01,0.000000000000000000e+00
1.731016671111754590e+01,0.000000000000000000e+00
1.940648089793784692e+01,0.000000000000000000e+00
2.193029846684515505e+01,0.000000000000000000e+00
1.948043824978540428e+01,0.000000000000000000e+00
2.137544161242285412e+01,0.000000000000000000e+00
2.259780850384055739e+01,0.000000000000000000e+00
2.292769334257329916e+01,0.000000000000000000e+00
2.161454183872583812e+01,0.000000000000000000e+00
1.993610184109123296e+01,0.000000000000000000e+00
1.733334358662288111e+01,0.000000000000000000e+00
2.474836932327397676e+01,0.000000000000000000e+00
2.009689947411483146e+01,0.000000000000000000e+00
2.204863883249210588e+01,0.000000000000000000e+00
1.868005790356489015e+01,0.000000000000000000e+00
1.805797407881438588e+01,0.000000000000000000e+00
1.932860356408258795e+01,0.000000000000000000e+00
1.834874185916921263e+01,0.000000000000000000e+00
1.868758527099620181e+01,0.000000000000000000e+00
1.812894915387032313e+01,0.000000000000000000e+00
1.843770083327075326e+01,0.000000000000000000e+00
1.919248738494087547e+01,0.000000000000000000e+00
2.111501921138401983e+01,0.000000000000000000e+00
1.986831486250870427e+01,0.000000000000000000e+00
1.671181335849551886e+01,0.000000000000000000e+00
2.474760513590416977e+01,0.000000000000000000e+00
2.067483469629030068e+01,0.000000000000000000e+00
2.154316084596219838e+01,0.000000000000000000e+00
1.908312192314792810e+01,0.000000000000000000e+00
1.957807385681671164e+01,0.000000000000000000e+00
2.048959073848239854e+01,0.000000000000000000e+00
2.027692174487562582e+01,0.000000000000000000e+00
1.925804561876853072e+01,0.000000000000000000e+00
1.673873333628219129e+01,0.000000000000000000e+00
1.800357161478869727e+01,0.000000000000000000e+00
2.032801823280505005e+01,0.000000000000000000e+00
1.737170292122589998e+01,0.000000000000000000e+00
2.009203431998723488e+01,0.000000000000000000e+00
1.820879349456210150e+01,0.000000000000000000e+00
1.976632510089893557e+01,0.000000000000000000e+00
2.077515265243755849e+01,0.000000000000000000e+00
2.005976439842658365e+01,0.000000000000000000e+00
2.040993803544825980e+01,0.000000000000000000e+00
1.813701355019767547e+01,0.000000000000000000e+00
2.387356453563392833e+01,0.000000000000000000e+00
1.818967267991868297e+01,0.000000000000000000e+00
1.775774187612236688e+01,0.000000000000000000e+00
1.962673027183199181e+01,0.000000000000000000e+00
1.898677327458325337e+01,0.000000000000000000e+00
2.045489989775302320e+01,0.000000000000000000e+00
2.204407224174704183e+01,0.000000000000000000e+00
1.834426569370889837e+01,0.000000000000000000e+00
1.859998546663764429e+01,0.000000000000000000e+00
1.887918380501628945e+01,0.000000000000000000e+00
1.552858932715527729e+01,0.000000000000000000e+00
1.755833011801449928e+01,0.000000000000000000e+00
1.747003145837690141e+01,0.000000000000000000e+00
1.785405989617949274e+01,0.000000000000000000e+00
1.829116387454801540e+01,0.000000000000000000e+00
2.057962294677342996e+01,0.000000000000000000e+00
2.339012370784119099e+01,0.000000000000000000e+00
2.075859655292434880e+01,0.000000000000000000e+00
2.516063183204433429e+01,0.000000000000000000e+00
2.157704411954859580e+01,0.000000000000000000e+00
2.002405226094513679e+01,0.000000000000000000e+00
1.749419939625191134e+01,0.000000000000000000e+00
2.046382077182203219e+01,0.000000000000000000e+00
1.628385301834326526e+01,0.000000000000000000e+00
2.418603346355952866e+01,0.000000000000000000e+00
2.265971274833609073e+01,0.000000000000000000e+00
1.899983221243343223e+01,0.000000000000000000e+00
2.099052040656256679e+01,0.000000000000000000e+00
2.172776940136658297e+01,0.000000000000000000e+00
2.022990890059505986e+01,0.000000000000000000e+00
1.592787718142056974e+02,1.390000000000000000e+02
1.593384338669972067e+02,1.390000000000000000e+02
1.586664043178741395e+02,1.390000000000000000e+02
1.589617780807795384e+02,1.390000000000000000e+02
1.618213877529197759e+02,1.390000000000000000e+02
1.613557533426794066e+02,1.390000000000000000e+02
1.599675652730642241e+02,1.390000000000000000e+02
1.618600569087590770e+02,1.390000000000000000e+02
1.605926474536469186e+02,1.390000000000000000e+02
1.590543147227643033e+02,1.390000000000000000e+02
1.591535171617408935e+02,1.390000000000000000e+02
1.600632999161072121e+02,1.390000000000000000e+02
1.581039270329532940e+02,1.390000000000000000e+02
1.583631323769714925e+02,1.390000000000000000e+02
1.584999199270200734e+02,1.390000000000000000e+02
1.597383563276914060e+02,1.390000000000000000e+02
1.585390891617769000e+02,1.390000000000000000e+02
1.584460943637742218e+02,1.390000000000000000e+02
1.603724313149099316e+02,1.390000000000000000e+02
1.594417879657145818e+02,1.390000000000000000e+02
1.545571582244404567e+02,1.390000000000000000e+02
1.609886343996080313e+02,1.390000000000000000e+02
1.633746411865390655e+02,1.390000000000000000e+02
1.565813905547288982e+02,1.390000000000000000e+02
1.600927018218033879e+02,1.390000000000000000e+02
1.530853784011971470e+02,1.390000000000000000e+02
1.579325710633889628e+02,1.390000000000000000e+02
1.578970895786828805e+02,1.390000000000000000e+02
1.581203715640074279e+02,1.390000000000000000e+02
1.619338580896507551e+02,1.390000000000000000e+02
1.591650093514427624e+02,1.390000000000000000e+02
1.556936695007406968e+02,1.390000000000000000e+02
1.605064375072284122e+02,1.390000000000000000e+02
1.614945991439257682e+02,1.390000000000000000e+02
1.576638800843353749e+02,1.390000000000000000e+02
1.608796201758232769e+02,1.390000000000000000e+02
1.599048841539795376e+02,1.390000000000000000e+02
1.611762754460889084e+02,1.390000000000000000e+02
1.591583798297811825e+02,1.390000000000000000e+02
1.579550511427676156e+02,1.390000000000000000e+02
2.013544950479346767e+02,1.390000000000000000e+02
2.061357701657192933e+02,1.390000000000000000e+02
2.077197021969878961e+02,1.390000000000000000e+02
2.065340616098718556e+02,1.390000000000000000e+02
2.052122970435074194e+02,1.390000000000000000e+02
2.099952619246328993e+02,1.390000000000000000e+02
2.096116695685281002e+02,1.390000000000000000e+02
2.073224852768968844e+02,1.390000000000000000e+02
2.079194392941491003e+02,1.390000000000000000e+02
2.056841970881442307e+02,1.390000000000000000e+02
