value,error,error_size
2.249435366577286644e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.228649033872566321e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.968297851900457474e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.248037878861342165e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.254361708738239045e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.142429835516303882e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.311304849489274460e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.239883018038165829e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.010141854109232185e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.040809629133060454e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.163207736253234970e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.210799869916463933e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.661855394594260105e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.746441743972457772e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.684062446968536975e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.078125016791464219e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.992687027681831324e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.210372306493106365e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.192893465563004440e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.891746829636720406e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.994931521405544572e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.774832562531441127e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.959162536257197473e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.780154208127579096e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.882680951063100849e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.043999531880044174e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.548716321221449732e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.077587946688850096e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.830817832775564469e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.550126285526845749e+01,0.000000000000000000e+00,0.000000000000000000e+00
