value,error,error_size
1.887710246882279819e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.194966713804573999e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.796701249871590989e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.071612265981078238e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.315209223454935383e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.074383564077087527e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.915772312387299436e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.099230769620204740e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.840881221247638422e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.958512965655599913e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.968443504187133897e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.204557203822390221e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.569647465920078133e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.104448437296261076e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.245457930277345326e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.958142285559130613e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.814732641128720303e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.938926168657691562e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.911852877446979093e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.757179245627235886e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.908269556737611694e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.336364338177087774e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.249673242071752810e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.016126429276188503e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.100815996281270159e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.325965695567317226e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.003372633310332773e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.886406281197633206e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.121012505322177333e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.880925442121677094e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.053471441125683938e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.852912046275805835e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.078934728310823132e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.251943294469712242e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.531523283369142518e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.015024835424227589e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.897476325626649540e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.789438299613978600e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.969223361974730935e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.059023085677756271e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.679131595877973737e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.817327015473221152e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.120081699783343154e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.904006222265706327e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.642531335200460418e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.693400043665987198e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.985867057283978099e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.024722530657675534e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.042558725626802385e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.888777288662561205e+01,0.000000000000000000e+00,0.000000000000000000e+00
