value,error_size
1.700978937226108201e+01,0.000000000000000000e+00
1.964581605744954018e+01,0.000000000000000000e+00
1.981486211009565324e+01,0.000000000000000000e+00
1.939273621325897423e+01,0.000000000000000000e+00
1.764534811862529295e+01,0.000000000000000000e+00
2.074207471673712178e+01,0.000000000000000000e+00
1.965825640710411193e+01,0.000000000000000000e+00
1.822783840655874599e+01,0.000000000000000000e+00
1.828663082416184338e+01,0.000000000000000000e+00
2.004903508278591318e+01,0.000000000000000000e+00
2.286691475081990532e+01,0.000000000000000000e+00
1.640648157519785855e+01,0.000000000000000000e+00
2.304584558068428635e+01,0.000000000000000000e+00
1.735839824715459301e+01,0.000000000000000000e+00
1.810111188789169034e+01,0.000000000000000000e+00
2.291487913706988877e+01,0.000000000000000000e+00
1.904696254115338405e+01,0.000000000000000000e+00
1.944324554970150132e+01,0.000000000000000000e+00
2.131614709727598012e+01,0.000000000000000000e+00
1.857145622726346801e+01,0.000000000000000000e+00
1.939309617100355609e+01,0.000000000000000000e+00
2.305715839935169598e+01,0.000000000000000000e+00
1.758922540793154354e+01,0.000000000000000000e+00
1.869570935280290414e+01,0.000000000000000000e+00
2.178244794689768327e+01,0.000000000000000000e+00
2.581836453767991912e+01,0.000000000000000000e+00
1.926065272734844669e+01,0.000000000000000000e+00
1.968464265973110372e+01,0.000000000000000000e+00
1.924000974915806239e+01,0.000000000000000000e+00
1.848511368524064480e+01,0.000000000000000000e+00
2.035207672551525704e+01,0.000000000000000000e+00
1.946251774099892629e+01,0.000000000000000000e+00
2.088376210692621626e+01,0.000000000000000000e+00
1.855903368119728825e+01,0.000000000000000000e+00
1.690532810022626009e+01,0.000000000000000000e+00
2.228758301458006841e+01,0.000000000000000000e+00
2.250033668773537343e+01,0.000000000000000000e+00
1.810440880157582200e+01,0.000000000000000000e+00
2.124217599123906908e+01,0.000000000000000000e+00
2.409434680577139076e+01,0.000000000000000000e+00
2.053534553099193261e+01,0.000000000000000000e+00
2.107694441426881937e+01,0.000000000000000000e+00
2.081347560056730117e+01,0.000000000000000000e+00
1.987802012241087368e+01,0.000000000000000000e+00
2.035016550559100423e+01,0.000000000000000000e+00
1.976857125078332800e+01,0.000000000000000000e+00
2.192029322642923717e+01,0.000000000000000000e+00
2.033814697074615907e+01,0.000000000000000000e+00
1.982127758350276281e+01,0.000000000000000000e+00
1.825368066425255265e+01,0.000000000000000000e+00
2.131754447210993320e+01,0.000000000000000000e+00
1.995157598897351292e+01,0.000000000000000000e+00
2.065866346538815890e+01,0.000000000000000000e+00
2.159815214792355675e+01,0.000000000000000000e+00
2.014624387034979947e+01,0.000000000000000000e+00
2.084862919491075672e+01,0.000000000000000000e+00
2.055485322447821162e+01,0.000000000000000000e+00
1.843436415601834000e+01,0.000000000000000000e+00
1.804115383874601619e+01,0.000000000000000000e+00
1.823527547196436061e+01,0.000000000000000000e+00
2.037088749075881111e+01,0.000000000000000000e+00
2.260247280995704244e+01,0.000000000000000000e+00
1.934766119721543376e+01,0.000000000000000000e+00
2.221247932767562006e+01,0.000000000000000000e+00
2.012114095927903179e+01,0.000000000000000000e+00
2.587585126254888124e+01,0.000000000000000000e+00
1.771216123739951698e+01,0.000000000000000000e+00
1.709463534688098818e+01,0.000000000000000000e+00
1.791196563609977588e+01,0.000000000000000000e+00
1.829473317293596324e+01,0.000000000000000000e+00
2.006126316046919200e+01,0.000000000000000000e+00
2.145334519784522698e+01,0.000000000000000000e+00
1.905492466065973289e+01,0.000000000000000000e+00
1.745675575643628719e+01,0.000000000000000000e+00
1.965444476233113136e+01,0.000000000000000000e+00
2.013321541982443819e+01,0.000000000000000000e+00
2.095808845778320872e+01,0.000000000000000000e+00
1.919849990256327743e+01,0.000000000000000000e+00
2.081111578303420373e+01,0.000000000000000000e+00
1.958993777448561957e+01,0.000000000000000000e+00
2.027321103643296141e+01,0.000000000000000000e+00
2.164154572676910249e+01,0.000000000000000000e+00
1.891955459505181025e+01,0.000000000000000000e+00
2.408942227268237701e+01,0.000000000000000000e+00
2.291475817839900131e+01,0.000000000000000000e+00
1.838363994828109682e+01,0.000000000000000000e+00
2.072097051295730807e+01,0.000000000000000000e+00
2.106305448987996343e+01,0.000000000000000000e+00
2.090876510091509743e+01,0.000000000000000000e+00
1.947078735149386475e+01,0.000000000000000000e+00
2.012783979274630752e+01,0.000000000000000000e+00
1.863866436718691943e+01,0.000000000000000000e+00
2.202675670611305137e+01,0.000000000000000000e+00
1.875001458293523982e+01,0.000000000000000000e+00
2.139446007882245127e+01,0.000000000000000000e+00
1.732513713512834030e+01,0.000000000000000000e+00
2.129492253785464229e+01,0.000000000000000000e+00
1.965291830683964847e+01,0.000000000000000000e+00
2.255199896751149069e+01,0.000000000000000000e+00
2.135438847717659172e+01,0.000000000000000000e+00
1.796102820036757564e+01,0.000000000000000000e+00
1.642918413456322213e+01,0.000000000000000000e+00
1.750216513722033440e+01,0.000000000000000000e+00
2.189411288250740739e+01,0.000000000000000000e+00
2.036675853914513468e+01,0.000000000000000000e+00
1.992670627992613319e+01,0.000000000000000000e+00
2.146171033692421659e+01,0.000000000000000000e+00
1.930797746414793892e+01,0.000000000000000000e+00
6.569560700722885827e+01,0.000000000000000000e+00
6.892750714907242582e+01,0.000000000000000000e+00
6.649979353750241273e+01,0.000000000000000000e+00
6.968291851221781030e+01,0.000000000000000000e+00
6.791328770549644389e+01,0.000000000000000000e+00
6.712004143349074070e+01,0.000000000000000000e+00
6.518843387258141320e+01,0.000000000000000000e+00
6.592599553197318585e+01,0.000000000000000000e+00
7.046225004311301632e+01,0.000000000000000000e+00
6.926966873881079323e+01,0.000000000000000000e+00
6.826004474555108459e+01,0.000000000000000000e+00
6.773125718081594471e+01,0.000000000000000000e+00
7.999240401566122216e+01,0.000000000000000000e+00
8.156179015201496441e+01,0.000000000000000000e+00
7.743954910968716376e+01,0.000000000000000000e+00
7.735978241804863842e+01,0.000000000000000000e+00
7.899114152090979246e+01,0.000000000000000000e+00
7.966085321465060076e+01,0.000000000000000000e+00
7.714805015027693003e+01,0.000000000000000000e+00
7.817921113039454895e+01,0.000000000000000000e+00
8.081733950700210301e+01,0.000000000000000000e+00
7.600898457041364509e+01,0.000000000000000000e+00
7.946375772858705488e+01,0.000000000000000000e+00
7.870198059875262686e+01,0.000000000000000000e+00
8.179146722651243806e+01,0.000000000000000000e+00
7.578456496035583712e+01,0.000000000000000000e+00
7.827559316676099854e+01,0.000000000000000000e+00
8.111573747004113955e+01,0.000000000000000000e+00
8.078611960921901414e+01,0.000000000000000000e+00
8.004740636158143730e+01,0.000000000000000000e+00
7.688390633486599768e+01,0.000000000000000000e+00
8.204172136788000103e+01,0.000000000000000000e+00
7.955557629774267525e+01,0.000000000000000000e+00
8.207471612797966998e+01,0.000000000000000000e+00
8.017701874552099639e+01,0.000000000000000000e+00
8.239346165477557804e+01,0.000000000000000000e+00
7.620442667304287454e+01,0.000000000000000000e+00
8.147210248633165008e+01,0.000000000000000000e+00
8.274036757241705686e+01,0.000000000000000000e+00
7.776165226749084525e+01,0.000000000000000000e+00
7.658004658715417179e+01,0.000000000000000000e+00
7.738255946195782542e+01,0.000000000000000000e+00
7.722500484742496951e+01,0.000000000000000000e+00
8.377372478207189488e+01,0.000000000000000000e+00
