value,error,error_size
1.884985306016364959e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.117128312809828472e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.231941184133805223e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.993206976172091061e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.896236573846093876e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.803199414295626113e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.018184565700508770e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.670871057626681022e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.927493975109188540e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.756542233744314885e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.290727669523403875e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.232971284564545655e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.007668466182349576e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.185437056970339853e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.157105650526475671e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.211845854790112043e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.880624322509899926e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.245533366308194800e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.313164684013278816e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.115185277655655227e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.931854358609219702e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.805973090088393818e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.007279386303541813e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.366091652591756755e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.749952579118398788e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.126174072277608218e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.283576511523062891e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.256260437943032926e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.085167608255495608e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.995404139132345023e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.684151411006275012e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.145692521780863160e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.940218005853471794e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.785245823472370930e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.101884609669411219e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.209297455333635085e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.288426689651941359e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.798723524120171291e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.036968934329073733e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.121438243863100226e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.990364087188416065e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.967828594712258905e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.290478503405250521e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.113953290834385967e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.969734345877827053e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.020122244636733555e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.154742807053194653e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.147325938363631437e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.954371699478846836e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.321769263850950438e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.889644605690926937e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.120407405160883485e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.224105908042476898e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.277385555315648702e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.921012002282113329e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.879773467798484532e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.927543873401613439e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.233251364041515785e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.946716320348044604e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.930401711028689959e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.172129531386233126e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.837622779584595634e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.754179059839796651e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.790739958751527894e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.175035189252165324e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.243559859195844197e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.659165102762853650e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.159414452192762823e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.065575642939824519e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.169739373748554456e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.850565816702745892e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.904842791340726649e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.490591115627157848e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.593760755373805615e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.918851030048068296e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.181884503720131363e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.747753141077019734e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.660590364628724913e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.130284480102409717e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.077146502247278192e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.882064476801129871e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.331805328439763514e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.013929428541626621e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.312603834711059747e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.754296126097498387e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.253887917554432718e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.514556082234251200e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.620554852810020208e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.138929520093610748e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.812846191825480702e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.902212747867595510e+01,0.000000000000000000e+00,0.000000000000000000e+00
