value,error_size
2.214957922117839217e+01,0.000000000000000000e+00
1.770657746916681674e+01,0.000000000000000000e+00
2.045908003213066451e+01,0.000000000000000000e+00
2.144033041812014417e+01,0.000000000000000000e+00
1.837249313626210778e+01,0.000000000000000000e+00
2.178980887378816078e+01,0.000000000000000000e+00
2.058972669998495064e+01,0.000000000000000000e+00
1.851529514121137154e+01,0.000000000000000000e+00
1.557839392396422262e+01,0.000000000000000000e+00
2.196698252562559261e+01,0.000000000000000000e+00
1.955648376666859889e+01,0.000000000000000000e+00
1.734879023421863664e+01,0.000000000000000000e+00
2.330739262932046074e+01,0.000000000000000000e+00
1.803894094256812508e+01,0.000000000000000000e+00
1.815131715993558359e+01,0.000000000000000000e+00
1.866261573334346480e+01,0.000000000000000000e+00
2.192065717706564598e+01,0.000000000000000000e+00
1.863538449420839171e+01,0.000000000000000000e+00
2.086416628709218202e+01,0.000000000000000000e+00
1.755471752125288631e+01,0.000000000000000000e+00
2.025494887291043256e+01,0.000000000000000000e+00
2.162308743702291736e+01,0.000000000000000000e+00
2.015571094058048018e+01,0.000000000000000000e+00
2.034799365317320508e+01,0.000000000000000000e+00
2.111111469092691095e+01,0.000000000000000000e+00
2.123074985718857022e+01,0.000000000000000000e+00
1.787168238847195667e+01,0.000000000000000000e+00
2.081599414429408057e+01,0.000000000000000000e+00
1.729569354443387041e+01,0.000000000000000000e+00
1.870852966187655397e+01,0.000000000000000000e+00
2.202517573657332761e+01,0.000000000000000000e+00
1.974291890585740106e+01,0.000000000000000000e+00
2.152730779177909426e+01,0.000000000000000000e+00
2.035071368659245294e+01,0.000000000000000000e+00
1.953033159449056555e+01,0.000000000000000000e+00
2.109427860672629151e+01,0.000000000000000000e+00
1.889008193987932316e+01,0.000000000000000000e+00
2.155112031500164704e+01,0.000000000000000000e+00
2.007472066344361394e+01,0.000000000000000000e+00
2.076280227601008477e+01,0.000000000000000000e+00
1.757327689150439198e+01,0.000000000000000000e+00
1.830671904525255655e+01,0.000000000000000000e+00
2.185861616095611026e+01,0.000000000000000000e+00
1.906733761482285061e+01,0.000000000000000000e+00
1.534736732579639096e+01,0.000000000000000000e+00
1.781838443411745132e+01,0.000000000000000000e+00
1.764411565573855611e+01,0.000000000000000000e+00
2.133887855515558130e+01,0.000000000000000000e+00
1.878418218721002120e+01,0.000000000000000000e+00
2.099232394026226700e+01,0.000000000000000000e+00
2.258528685315399187e+01,0.000000000000000000e+00
1.804728722831517373e+01,0.000000000000000000e+00
1.981782519106501894e+01,0.000000000000000000e+00
2.047244308764970100e+01,0.000000000000000000e+00
2.090485563982331740e+01,0.000000000000000000e+00
2.031575022833500910e+01,0.000000000000000000e+00
1.893170465282143766e+01,0.000000000000000000e+00
2.170476730010636146e+01,0.000000000000000000e+00
2.003866523731349147e+01,0.000000000000000000e+00
1.917688903332172856e+01,0.000000000000000000e+00
1.704398517054742257e+01,0.000000000000000000e+00
2.023181308499805908e+01,0.000000000000000000e+00
2.098308584122401754e+01,0.000000000000000000e+00
1.770093202397455201e+01,0.000000000000000000e+00
2.009074852944173273e+01,0.000000000000000000e+00
1.871017404297151288e+01,0.000000000000000000e+00
1.977119699702540245e+01,0.000000000000000000e+00
1.960856229694219266e+01,0.000000000000000000e+00
2.302717290146605222e+01,0.000000000000000000e+00
1.903419174704825778e+01,0.000000000000000000e+00
2.293032599913047420e+01,0.000000000000000000e+00
2.028931434666823108e+01,0.000000000000000000e+00
1.903811731090837256e+01,0.000000000000000000e+00
1.908800355398388149e+01,0.000000000000000000e+00
1.900292040016567441e+01,0.000000000000000000e+00
2.021231618133597863e+01,0.000000000000000000e+00
1.937808293674338245e+01,0.000000000000000000e+00
2.276973333702071756e+01,0.000000000000000000e+00
1.963210256267749187e+01,0.000000000000000000e+00
2.173702321713771113e+01,0.000000000000000000e+00
1.680763473104443406e+01,0.000000000000000000e+00
2.207294742730361747e+01,0.000000000000000000e+00
2.064929270993090782e+01,0.000000000000000000e+00
2.096079685884548027e+01,0.000000000000000000e+00
2.055472062804980027e+01,0.000000000000000000e+00
2.270164203390577029e+01,0.000000000000000000e+00
1.976261995547712047e+01,0.000000000000000000e+00
2.084229892689779362e+01,0.000000000000000000e+00
1.901458068014151692e+01,0.000000000000000000e+00
1.560867330900499894e+01,0.000000000000000000e+00
1.946984782127193725e+01,0.000000000000000000e+00
2.000352391278159203e+01,0.000000000000000000e+00
1.965075257907923145e+01,0.000000000000000000e+00
2.214045381115890621e+01,0.000000000000000000e+00
2.186757137851186172e+01,0.000000000000000000e+00
2.076885648548434560e+01,0.000000000000000000e+00
2.242488662450837467e+01,0.000000000000000000e+00
2.029070294827970855e+01,0.000000000000000000e+00
2.288498911515912226e+01,0.000000000000000000e+00
2.073364468440838593e+01,0.000000000000000000e+00
2.388066797149603815e+01,0.000000000000000000e+00
1.935686325340252267e+01,0.000000000000000000e+00
1.808786590247561321e+01,0.000000000000000000e+00
2.086034076317692509e+01,0.000000000000000000e+00
2.178401686792877712e+01,0.000000000000000000e+00
1.866458892851556683e+01,0.000000000000000000e+00
1.939781145382706740e+01,0.000000000000000000e+00
2.254852513042022721e+01,0.000000000000000000e+00
6.511041885190006440e+01,0.000000000000000000e+00
6.522280443097979230e+01,0.000000000000000000e+00
6.723685161323281534e+01,0.000000000000000000e+00
6.603278268146451069e+01,0.000000000000000000e+00
6.878267105888880906e+01,0.000000000000000000e+00
6.927085239642656234e+01,0.000000000000000000e+00
6.741363457691089422e+01,0.000000000000000000e+00
6.740697126584593946e+01,0.000000000000000000e+00
6.389212880693055041e+01,0.000000000000000000e+00
6.802308308829049110e+01,0.000000000000000000e+00
6.506876251541120837e+01,0.000000000000000000e+00
6.984183864333738256e+01,0.000000000000000000e+00
7.634029041789088410e+01,0.000000000000000000e+00
7.819798822224821322e+01,0.000000000000000000e+00
7.821817787948454281e+01,0.000000000000000000e+00
7.703509429880880077e+01,0.000000000000000000e+00
7.734901868271334990e+01,0.000000000000000000e+00
7.853524784715300200e+01,0.000000000000000000e+00
7.220071093018702868e+01,0.000000000000000000e+00
7.908512011350167370e+01,0.000000000000000000e+00
7.909910617152868895e+01,0.000000000000000000e+00
8.123391874434801707e+01,0.000000000000000000e+00
7.436235071747650238e+01,0.000000000000000000e+00
7.948460823596393254e+01,0.000000000000000000e+00
7.668573551186031523e+01,0.000000000000000000e+00
7.947073709744159942e+01,0.000000000000000000e+00
8.097708747560568554e+01,0.000000000000000000e+00
8.074198031519858887e+01,0.000000000000000000e+00
8.053277875849603618e+01,0.000000000000000000e+00
