value,error
1.855204865502024347e+01,0.000000000000000000e+00
1.935054910525238014e+01,0.000000000000000000e+00
2.033794554570577517e+01,0.000000000000000000e+00
1.983250017036594315e+01,0.000000000000000000e+00
2.154549112439130454e+01,0.000000000000000000e+00
1.926657843144125337e+01,0.000000000000000000e+00
2.169256007948239429e+01,0.000000000000000000e+00
2.115485853555954066e+01,0.000000000000000000e+00
2.055048352976103843e+01,0.000000000000000000e+00
1.943936310933471390e+01,0.000000000000000000e+00
2.053826721084826445e+01,0.000000000000000000e+00
1.958472628245434777e+01,0.000000000000000000e+00
2.109255335999000636e+01,0.000000000000000000e+00
1.781166922903064531e+01,0.000000000000000000e+00
1.704379493007796853e+01,0.000000000000000000e+00
2.100886402496309202e+01,0.000000000000000000e+00
2.271225032072279859e+01,0.000000000000000000e+00
1.970974172599245833e+01,0.000000000000000000e+00
2.025229832290143506e+01,0.000000000000000000e+00
2.270494778631436716e+01,0.000000000000000000e+00
2.401262956606255017e+01,0.000000000000000000e+00
2.216257050752476232e+01,0.000000000000000000e+00
2.112774327351237602e+01,0.000000000000000000e+00
1.918315157663127479e+01,0.000000000000000000e+00
1.969021595750879072e+01,0.000000000000000000e+00
1.714407097848077299e+01,0.000000000000000000e+00
1.717674060643275880e+01,0.000000000000000000e+00
2.042115565164581525e+01,0.000000000000000000e+00
2.204280805746816441e+01,0.000000000000000000e+00
2.161463450323619284e+01,0.000000000000000000e+00
2.244664301892905556e+01,0.000000000000000000e+00
2.048336109601943278e+01,0.000000000000000000e+00
2.245445461643177509e+01,0.000000000000000000e+00
1.797370777821950227e+01,0.000000000000000000e+00
2.184341106338966298e+01,0.000000000000000000e+00
1.735600430057357357e+01,0.000000000000000000e+00
1.989430872109551629e+01,0.000000000000000000e+00
1.850373398721947638e+01,0.000000000000000000e+00
2.030379067088863110e+01,0.000000000000000000e+00
2.432106990872951258e+01,0.000000000000000000e+00
2.193095654987638810e+01,0.000000000000000000e+00
1.932010641790693484e+01,0.000000000000000000e+00
2.376779111875445238e+01,0.000000000000000000e+00
1.779458426001577465e+01,0.000000000000000000e+00
1.569246231275510262e+01,0.000000000000000000e+00
2.091522579699966045e+01,0.000000000000000000e+00
1.982943594120438746e+01,0.000000000000000000e+00
2.235616041816026467e+01,0.000000000000000000e+00
1.753913438281727721e+01,0.000000000000000000e+00
1.642909121144977291e+01,0.000000000000000000e+00
1.902608464175657943e+01,0.000000000000000000e+00
1.779719016986950209e+01,0.000000000000000000e+00
1.901363370295756994e+01,0.000000000000000000e+00
2.003942519139288336e+01,0.000000000000000000e+00
2.240251024173904426e+01,0.000000000000000000e+00
1.955247701502373658e+01,0.000000000000000000e+00
1.865726782463498523e+01,0.000000000000000000e+00
1.647337821486288689e+01,0.000000000000000000e+00
2.439043954743907250e+01,0.000000000000000000e+00
2.107269292463598731e+01,0.000000000000000000e+00
2.221260186838160067e+01,0.000000000000000000e+00
1.829900540961990885e+01,0.000000000000000000e+00
1.831656990040261235e+01,0.000000000000000000e+00
1.869612808180179897e+01,0.000000000000000000e+00
1.856403706188931224e+01,0.000000000000000000e+00
1.853310559266485669e+01,0.000000000000000000e+00
1.990028698747487113e+01,0.000000000000000000e+00
2.146852831301469067e+01,0.000000000000000000e+00
2.012163581866412088e+01,0.000000000000000000e+00
1.594501649266152299e+01,0.000000000000000000e+00
2.082511472316702594e+01,0.000000000000000000e+00
2.097103861737487307e+01,0.000000000000000000e+00
1.825641035236645848e+01,0.000000000000000000e+00
1.853703487310536602e+01,0.000000000000000000e+00
2.064564759880400047e+01,0.000000000000000000e+00
2.079067851773927700e+01,0.000000000000000000e+00
2.236973799969173626e+01,0.000000000000000000e+00
2.091945183044732559e+01,0.000000000000000000e+00
1.907692939727703774e+01,0.000000000000000000e+00
1.829939311892650977e+01,0.000000000000000000e+00
2.306608571400881758e+01,0.000000000000000000e+00
