value,error,error_size
1.905956060933961282e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.273311424184134566e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.177291087115835566e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.609246397732156453e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.033353663578236237e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.115442715310175359e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.136635417260256631e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.984424376595023176e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.084695771629298022e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.027333353076643618e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.831692315426717244e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.954104883912185642e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.803141438960562581e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.076059994729299518e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.820002226009821911e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.582672302971243106e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.533878222980591310e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.799614784068419837e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.074708962351659736e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.402072034996091077e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.087446950574197047e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.409285443535008042e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.940145402496694516e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.966527601403159409e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.893930433515867406e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.155980759943465941e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.638501927826085591e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.062236545729327375e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.917307711769958090e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.057628078246266057e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.893700599937509566e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.493570147783353264e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.187381157380388075e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.684810702690865369e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.506066106780353486e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.850612499763991892e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.864466114231971261e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.169238149080738154e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.967843219014670808e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.874314911279943274e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.891166556320785119e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.171784159485459398e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.924258904730286091e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.071440598005140998e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.114000072877003333e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.989083063282765806e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.128739588702443797e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.810795039277327589e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.235927303579286374e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.778809171340790840e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.821717684534823789e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.774101641949534880e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.913526207378189881e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.956489861488526572e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.722472775901544040e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.883368301739895401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.999215445503504895e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.078694489123567024e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.883466251224020738e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.242258040569525690e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.128558628935408237e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.935278248824051417e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.078903932880056260e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.819576963199329001e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.939211673723371021e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.110940265806662453e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.219886404821350823e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.768141290958105571e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.008083601727789613e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.289872263652913631e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.822151805181039919e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.772672066538253333e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.999922075053212822e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.888269419210328692e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.010096525403158907e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.189424796249487670e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.300262310952886580e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.041014395693316530e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.997032842073245718e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.943106529882398803e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.616441210834797459e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.182364256480803988e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.857088264851092418e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.993996369727839379e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.466053170135934280e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.473557245530335535e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.848115189854086893e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.296991475615917722e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.101173798064015585e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.196525587630249277e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.195412240602143328e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.767726144167720292e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.866031532856632680e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.288838219311281463e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.270173587746279864e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.257651023830462478e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.776601270882449057e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.027739641996563336e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.896144820969629663e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.056421084472642491e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.762311155916734506e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.026287782253107395e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.051437884853538307e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.013440449359295314e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.987000869721861562e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.937792783820134090e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.996826071144397119e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.113189695121614875e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.918722900447566815e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.641640780163825752e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.297937772464058526e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.380217001173885905e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.782987264367250191e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.445028081289791544e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.712261880725552032e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.576822461577981471e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.481093919548528959e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.625680484962165906e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.484425440650119299e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.994914601169790558e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.840347961194221682e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.777005263359532705e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.680341560734159145e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.886493394020141068e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.277950582253259881e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.869472683141319180e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.842190258585014817e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.544245809379754064e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.467846112245327106e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.922662470503529164e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.711271921018932574e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.701266466690069024e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.806367576384876372e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.058236973606015852e+01,0.000000000000000000e+00,0.000000000000000000e+00
