value,error
2.317051633682037703e+01,0.000000000000000000e+00
2.254845294945895517e+01,0.000000000000000000e+00
1.835010848430589547e+01,0.000000000000000000e+00
1.786925371675503982e+01,0.000000000000000000e+00
2.256440916448178768e+01,0.000000000000000000e+00
2.227927811113099565e+01,0.000000000000000000e+00
1.610152250497382198e+01,0.000000000000000000e+00
1.762989087692101364e+01,0.000000000000000000e+00
2.514418182952851311e+01,0.000000000000000000e+00
1.842555231134761584e+01,0.000000000000000000e+00
2.295682132660112984e+01,0.000000000000000000e+00
2.330085900812977684e+01,0.000000000000000000e+00
2.011983320690263000e+01,0.000000000000000000e+00
2.229287681570166058e+01,0.000000000000000000e+00
1.611520513339311478e+01,0.000000000000000000e+00
1.701780738185722086e+01,0.000000000000000000e+00
2.321313751333751085e+01,0.000000000000000000e+00
2.298116281993955923e+01,0.000000000000000000e+00
2.309650125737161019e+01,0.000000000000000000e+00
1.481140821494208559e+01,0.000000000000000000e+00
2.313696656035814669e+01,0.000000000000000000e+00
1.842445904793267886e+01,0.000000000000000000e+00
1.839590340232260957e+01,0.000000000000000000e+00
2.182826808296043453e+01,0.000000000000000000e+00
1.758831003321525088e+01,0.000000000000000000e+00
2.126364942017826465e+01,0.000000000000000000e+00
1.961928057629272715e+01,0.000000000000000000e+00
1.829069699602426269e+01,0.000000000000000000e+00
1.797413529234694352e+01,0.000000000000000000e+00
2.047321005444277375e+01,0.000000000000000000e+00
1.897701077309404738e+01,0.000000000000000000e+00
1.839142097803121345e+01,0.000000000000000000e+00
1.940375693116180855e+01,0.000000000000000000e+00
2.521591986858442880e+01,0.000000000000000000e+00
2.285064447387632924e+01,0.000000000000000000e+00
1.805772125478750922e+01,0.000000000000000000e+00
1.953068559915629265e+01,0.000000000000000000e+00
1.786666586284357905e+01,0.000000000000000000e+00
2.014415694496152653e+01,0.000000000000000000e+00
2.228300369588349383e+01,0.000000000000000000e+00
1.614005714827356641e+01,0.000000000000000000e+00
1.930495000661473526e+01,0.000000000000000000e+00
2.106142368759074301e+01,0.000000000000000000e+00
2.266625006519089425e+01,0.000000000000000000e+00
1.859549954741361688e+01,0.000000000000000000e+00
2.003704675261296941e+01,0.000000000000000000e+00
2.120650863136426523e+01,0.000000000000000000e+00
2.382226246177032181e+01,0.000000000000000000e+00
2.111872673636220199e+01,0.000000000000000000e+00
2.103733396537700884e+01,0.000000000000000000e+00
1.690376626814038730e+01,0.000000000000000000e+00
2.001202027432564634e+01,0.000000000000000000e+00
2.181820011280657212e+01,0.000000000000000000e+00
2.255740255059519228e+01,0.000000000000000000e+00
2.128806724922983307e+01,0.000000000000000000e+00
2.194272783713810782e+01,0.000000000000000000e+00
1.971412501373746906e+01,0.000000000000000000e+00
1.860844168968259282e+01,0.000000000000000000e+00
2.273975180926731454e+01,0.000000000000000000e+00
2.391149584033393793e+01,0.000000000000000000e+00
2.268429037481007526e+01,0.000000000000000000e+00
2.164414690758516002e+01,0.000000000000000000e+00
2.096332270248228369e+01,0.000000000000000000e+00
1.740237730892628321e+01,0.000000000000000000e+00
1.878794326934049863e+01,0.000000000000000000e+00
2.094312472474982911e+01,0.000000000000000000e+00
1.952691039195292078e+01,0.000000000000000000e+00
1.362840263982344524e+01,0.000000000000000000e+00
2.280158830709896733e+01,0.000000000000000000e+00
1.804305033602737396e+01,0.000000000000000000e+00
1.774053611345120629e+01,0.000000000000000000e+00
2.040086993324288045e+01,0.000000000000000000e+00
2.229838034443378803e+01,0.000000000000000000e+00
2.221984627704758708e+01,0.000000000000000000e+00
1.639917728210566139e+01,0.000000000000000000e+00
2.021540153011789087e+01,0.000000000000000000e+00
1.800291439856262343e+01,0.000000000000000000e+00
2.109764926624630732e+01,0.000000000000000000e+00
2.102904974665172233e+01,0.000000000000000000e+00
2.088008889312186867e+01,0.000000000000000000e+00
2.074048779724843428e+01,0.000000000000000000e+00
1.681865132153646414e+01,0.000000000000000000e+00
2.148989303086141334e+01,0.000000000000000000e+00
2.184754682907126266e+01,0.000000000000000000e+00
2.125142883005978334e+01,0.000000000000000000e+00
1.906384757248306272e+01,0.000000000000000000e+00
2.134748938560912990e+01,0.000000000000000000e+00
2.172237295519401457e+01,0.000000000000000000e+00
2.112658120180182664e+01,0.000000000000000000e+00
1.928217257877913227e+01,0.000000000000000000e+00
2.122534249577020660e+01,0.000000000000000000e+00
1.939736977635870474e+01,0.000000000000000000e+00
2.151794919463731759e+01,0.000000000000000000e+00
1.893437940561045707e+01,0.000000000000000000e+00
1.806835433908464239e+01,0.000000000000000000e+00
2.054397765660677777e+01,0.000000000000000000e+00
1.815800892236575237e+01,0.000000000000000000e+00
2.057307181483749048e+01,0.000000000000000000e+00
1.738106213475825967e+01,0.000000000000000000e+00
2.099261963296865829e+01,0.000000000000000000e+00
1.394269017026111257e+01,0.000000000000000000e+00
2.047533169509157247e+01,0.000000000000000000e+00
1.967364860392995141e+01,0.000000000000000000e+00
1.728748114142882741e+01,0.000000000000000000e+00
1.779389367016241152e+01,0.000000000000000000e+00
1.826951291452598269e+01,0.000000000000000000e+00
1.701931686213763228e+01,0.000000000000000000e+00
1.859574129302221479e+01,0.000000000000000000e+00
6.818468475030867637e+01,0.000000000000000000e+00
6.444083714744419922e+01,0.000000000000000000e+00
7.069667124820954029e+01,0.000000000000000000e+00
6.843972974045748003e+01,0.000000000000000000e+00
6.923695212562338952e+01,0.000000000000000000e+00
6.702040029095738305e+01,0.000000000000000000e+00
6.753031569462599748e+01,0.000000000000000000e+00
6.901136354905817427e+01,0.000000000000000000e+00
6.685425627891234512e+01,0.000000000000000000e+00
6.819777168092224429e+01,0.000000000000000000e+00
6.805590171523019194e+01,0.000000000000000000e+00
6.841061415987495309e+01,0.000000000000000000e+00
7.332000358839701448e+01,0.000000000000000000e+00
7.572316563996781724e+01,0.000000000000000000e+00
8.069832882341394509e+01,0.000000000000000000e+00
7.521284708374736283e+01,0.000000000000000000e+00
7.820960718483384255e+01,0.000000000000000000e+00
7.740850417179312615e+01,0.000000000000000000e+00
7.666564197424506233e+01,0.000000000000000000e+00
7.651531975560949661e+01,0.000000000000000000e+00
7.649607670392131809e+01,0.000000000000000000e+00
7.690955813304356070e+01,0.000000000000000000e+00
7.581701618583984725e+01,0.000000000000000000e+00
7.444511906351469577e+01,0.000000000000000000e+00
7.760719636276000699e+01,0.000000000000000000e+00
7.776689213212644347e+01,0.000000000000000000e+00
7.878070910119885184e+01,0.000000000000000000e+00
7.640468422600072529e+01,0.000000000000000000e+00
8.243061649157513671e+01,0.000000000000000000e+00
8.087067699479770511e+01,0.000000000000000000e+00
8.152061241187720952e+01,0.000000000000000000e+00
7.875573781280600372e+01,0.000000000000000000e+00
7.998152555061840019e+01,0.000000000000000000e+00
7.790573640371592035e+01,0.000000000000000000e+00
8.114825993623290401e+01,0.000000000000000000e+00
8.274830263600676972e+01,0.000000000000000000e+00
7.759993608501575579e+01,0.000000000000000000e+00
7.793006240717093647e+01,0.000000000000000000e+00
8.112743838626474258e+01,0.000000000000000000e+00
8.011286427063120641e+01,0.000000000000000000e+00
7.434121834458100864e+01,0.000000000000000000e+00
7.834599845208653335e+01,0.000000000000000000e+00
8.074660584990260759e+01,0.000000000000000000e+00
8.127752346634740377e+01,0.000000000000000000e+00
7.973396052923365573e+01,0.000000000000000000e+00
7.883359408787522682e+01,0.000000000000000000e+00
8.044780414351777154e+01,0.000000000000000000e+00
7.639508073866819871e+01,0.000000000000000000e+00
8.028214857337204080e+01,0.000000000000000000e+00
7.911125083022237447e+01,0.000000000000000000e+00
8.206188164379238970e+01,0.000000000000000000e+00
7.675213348446560246e+01,0.000000000000000000e+00
7.734564716949871865e+01,0.000000000000000000e+00
8.107560247475862525e+01,0.000000000000000000e+00
7.990955588406581001e+01,0.000000000000000000e+00
8.124267830907423615e+01,0.000000000000000000e+00
8.015118777627922952e+01,0.000000000000000000e+00
7.803161801025889588e+01,0.000000000000000000e+00
8.268302767458061453e+01,0.000000000000000000e+00
8.132225566769534453e+01,0.000000000000000000e+00
8.270548766753496750e+01,0.000000000000000000e+00
8.020072835731855321e+01,0.000000000000000000e+00
8.056882217576024630e+01,0.000000000000000000e+00
8.041294525946095462e+01,0.000000000000000000e+00
8.129430013467764127e+01,0.000000000000000000e+00
7.942113497041115977e+01,0.000000000000000000e+00
8.272791671380828404e+01,0.000000000000000000e+00
8.096434068224098723e+01,0.000000000000000000e+00
7.870257433714908757e+01,0.000000000000000000e+00
7.937055408785670352e+01,0.000000000000000000e+00
7.784346321258546197e+01,0.000000000000000000e+00
7.950242311516258553e+01,0.000000000000000000e+00
7.839169345012497558e+01,0.000000000000000000e+00
8.307079881310106373e+01,0.000000000000000000e+00
7.982612541268439088e+01,0.000000000000000000e+00
7.909538499594663108e+01,0.000000000000000000e+00
8.045198229357801267e+01,0.000000000000000000e+00
8.220078803575201221e+01,0.000000000000000000e+00
8.047076178218520681e+01,0.000000000000000000e+00
8.029371244535813901e+01,0.000000000000000000e+00
8.217802073600249457e+01,0.000000000000000000e+00
8.077744649603771165e+01,0.000000000000000000e+00
8.305330897652740418e+01,0.000000000000000000e+00
8.439319072105925557e+01,0.000000000000000000e+00
8.097366054341573260e+01,0.000000000000000000e+00
7.945918246056038470e+01,0.000000000000000000e+00
8.257067820817057680e+01,0.000000000000000000e+00
8.141615358079320686e+01,0.000000000000000000e+00
7.842389361087475663e+01,0.000000000000000000e+00
8.079826488171175924e+01,0.000000000000000000e+00
8.042889401884919209e+01,0.000000000000000000e+00
