value,error,error_size
5.123328087716848955e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.156241464162889798e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.020930765360821368e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.950269541146555952e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.549615732064263796e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.910764804017087926e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.504905948109771430e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.119345944819281158e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.533942574248362689e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.558410192183035292e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.501781106606257765e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.826339817228263485e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.154801786194010305e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.881637982420374300e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.050759690083121711e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.888935392324934526e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.595399435352390327e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.878741552285548266e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.152443424390992277e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.242994630875601558e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.821496943427939641e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.250270543134078594e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.101953086123747738e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.279020358249206168e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.516588729006512892e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.486300521622581527e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.350091177177479551e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.586508467460313909e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.941089387758488272e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.792233769048277736e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.647758114729501244e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.037968511466611687e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.922406918311997970e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.114752920266730030e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.016689578353282286e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.876698488229449424e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.105152100804296822e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.047768322954431142e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.373343789494202838e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.502341477485231280e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.714906577405113808e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.200076851641625808e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.194747484857094832e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.239542779692081353e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.344659645534133574e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.573315877997697498e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.743058893149603250e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.834560556500704820e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.692739372342690274e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.771831200752782820e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.431687783772962064e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.409381346150230740e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.509871176114040736e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.903591869113658674e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.816279864289438706e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.797791476813085865e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.795914262027785924e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.897813174380716816e+01,0.000000000000000000e+00,0.000000000000000000e+00
