value,error,error_size
5.118568996993027298e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.173148280323594150e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.154786450615252846e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.320511662422629229e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.373893278120483075e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.463963421858782965e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.462068708453673338e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.465730453122648669e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.678294275822301529e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.653226011798120965e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.647736121389789332e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.580121324297530094e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.761786121847380571e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.582149222544493483e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.803169834673601457e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.872241972963410461e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.155001527362451696e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.242607314039247512e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.092330232719164229e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.280420473868767317e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.122192243937299594e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.591929527208445450e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.444881129012560450e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.570122927041234107e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.385931361398861839e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.317138191526782975e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.907006828933600673e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.401342548435785318e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.506759198329251603e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.943872773867242643e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.658747040682290219e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.730402301123412201e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.651684479912469783e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.161308289694589746e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.937889338003451201e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.005642269310793324e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.207933415255607201e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.260232767754324357e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.602402619555188323e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.374218429962256494e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.422212973534780645e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.293658904352810168e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.494072771217938111e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.601359606631834254e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.210749030123753300e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.626863638378291910e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.440666549107487526e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.656538419645573867e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.657852190688312533e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.790559910637277596e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.560054899999266809e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.611244968760573215e+01,0.000000000000000000e+00,0.000000000000000000e+00
