value,error,error_size
4.845646039903200375e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.992166805977588240e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.067403246716266807e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.139131134950920199e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.865151604536272600e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.151733123686235416e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.244321293942329021e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.477163586863027689e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.987873327957439784e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.829171876122055806e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.715523861838571662e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.610448999110875690e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.050544243523221155e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.612918738650574824e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.672360265444154237e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.837565921008096836e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.668098678439051952e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.171100399174222417e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.223037204862830407e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.355385783364678076e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.448081744993525888e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.438865360347961087e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.568632075983296659e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.186101717305554359e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.447323221756232670e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.505156424996179965e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.577629760674101078e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.434790075280085375e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.043975693996914345e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.599043452493529571e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.605479600839058207e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.089496046718842592e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.064825875950326406e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.707191717040034007e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.004520993570862686e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.835357130840419870e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.141370621876785663e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.229607165476127761e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.061467295965296387e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.027041621876163902e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.079411468214183856e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.451144504628013010e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.234182642119095874e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.560346717915498971e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.506198375870822304e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.567379426711801216e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.299097489315597898e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.151162570845937694e+01,0.000000000000000000e+00,0.000000000000000000e+00
