value,error,error_size
4.880529006532984937e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.961739466548206678e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.184112920256491464e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.280364645637983756e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.958935270165784459e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.462498269353979907e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.120590146946520349e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.325188737815071249e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.547785148485068163e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.493410986363151238e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.633143292823100978e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.703194893448701919e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.721367616891417640e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.409677113957830841e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.903288957157420924e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.884052391078615329e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.123074697975707892e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.174702221473776120e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.172142933231101125e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.825905044266833244e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.332363128506595018e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.240569707850477954e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.189529358303697393e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.357333127758214886e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.460706128946661408e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.589790558611366578e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.638084150151662755e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.726419187546039780e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.356538649156114218e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.814940071930500665e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.845055560180584564e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.895743935477658226e+01,0.000000000000000000e+00,0.000000000000000000e+00
