value,error,error_size
4.854497800196850221e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.772856301615448160e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.908687507407783102e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.110722992601431969e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.944167533149637705e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.198614126178079431e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.792591241712401740e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.943387623389022423e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.996077714991805152e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.967226817079764345e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.872285496613301348e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.816877315762165068e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.928393003457460964e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.123632989340387667e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.278759692529344250e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.035787977170765828e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.829629029757875713e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.113478579785787304e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.354130990178999383e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.062336357197991532e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.057698678107697532e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.929874891480128696e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.317113244039334319e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.410323461301253900e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.876184236245567405e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.263505427920051716e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.273398058488349704e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.108877145345989135e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.166915048222555384e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.107651598897812306e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.557438501375722240e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.240763459391337875e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.680953091280042599e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.343946976029401696e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.476168983712186389e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.439444823614575597e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.512673366022942645e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.159185781069398757e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.408459239447267919e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.198759852758493594e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.409312545222331181e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.495683614341899670e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.230419250256818486e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.787355442847225362e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.186422068983815592e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.051739447032625918e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.067178830520814614e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.433172244753073699e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.437045441674634105e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.334851886296916490e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.562689111901796934e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.214468489068188006e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.648398507596327534e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.692764589962778388e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.258933505303729561e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.274824574965490598e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.642228086038811341e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.201100948713786210e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.527925362518632113e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.496936887672772798e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.689009783496536699e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.640479963912557082e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.373859400432370137e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.855259816192329936e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.553749432062990365e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.823913500074058192e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.556755094561763997e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.605048587434948359e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.558631982246893699e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.255301670389896174e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.690449804030920689e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.703912450881828278e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.351939468569987213e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.446078028247477931e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.694581272482842138e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.947739644594566499e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.314851148261688252e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.509316413446795480e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.748227885995136432e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.666016532126808158e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.801800520132042749e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.526914077116822455e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.794496619152413786e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.764954642692499220e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.718025274161477967e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.545013733689177826e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.881669148487264920e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.859206643746185961e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.932140679955422513e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.550866404458802350e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.225787339407513343e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.620101338572366956e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.628031253019305780e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.912388892440424115e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.586388527920271940e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.490659382128531263e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.951335392658393175e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.722513459946063108e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.764381135464532946e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.497163921108537465e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.990353407456382229e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.485075768868375690e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.404157296084976991e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.709019398177738935e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.968843944086351883e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.658930985793089974e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.816462437118534723e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.368237291913220588e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.866458885278068180e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.580183395555044257e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.893478739403145994e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.126455811905233872e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.746205646191535976e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.212360655652751262e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.016215053781684219e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.385241630208439290e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.651584978385912450e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.879906867162362261e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.800278721072556465e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.074711228253913475e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.556289601389291022e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.762191801101278088e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.495222249238995005e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.017900805408579856e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.897871055058858758e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.587023247172689366e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.531129592152402097e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.626541253648566965e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.904408122817282845e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.120895611256911906e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.151974658649314165e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.201527982019933916e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.957675202536404413e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.254213228495675025e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.079093079110596420e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.133263355170300457e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.102344909981274412e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.136762571373325414e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.214329499734216711e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.892231498623275598e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.983195487364213250e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.405422235274654952e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.714246501782572096e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.191380320598279496e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.157722507154031177e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.000585831858240482e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.873877584589500600e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.447979827658113550e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.360476326750463727e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.153585507612454819e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.284351753970496901e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.080806946566990945e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.262202245338435347e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.405412627443601536e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.065747750593119747e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.088023067007287636e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.470152972542302905e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.598224918003882067e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.521048428849790923e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.076805553692522466e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.946594203410649726e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.181613870196744642e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.315246465752946392e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.601998048452071544e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.375407647691915969e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.285536455230960229e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.607563603778829986e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.205023335360348824e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.284636762333061455e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.347178836789726120e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.774404283072834687e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.270055237148442728e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.532516964020193484e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.152227947557565102e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.390742918526073169e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.434278930172408195e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.373294982966137923e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.561694604655102125e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.709781378725810441e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.604214684385249257e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.940194285531244844e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.620782394138711879e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.440839059490919283e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.635643686384382534e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.023116604439855593e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.373403029195326042e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.255112132201316655e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.385607951853192787e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.618864151165116994e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.502879311980623811e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.164153858981561740e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.456667977750343823e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.426214618375428245e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.719629955012825917e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.378250975582344751e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.877580379318831660e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.683373473305414336e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.705595750050464687e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.319974692197951072e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.291173064366931555e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.189235925330888932e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.374217496718679143e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.756160762860697844e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.743409282994964826e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.395691016937607287e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.310780630488975618e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.650078898743507239e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.940612455304514583e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.681785172976468345e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.897452354012541775e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.561221993634021032e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.771486245127381665e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.732234421625126686e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.876258611671924825e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.780206635047225916e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.711948651183953984e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.675508387168794400e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.721765931374393688e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.739280620931138799e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.389120595596015306e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.369588890260200742e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.569483238011952153e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.737822352253064651e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.706107935103565865e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.852702375438616400e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.543475818890566131e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.637382099966914950e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.596083099104541247e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.840989642210705313e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.703423067739470298e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.382080080865247140e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.673943149834792621e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.773220410413664183e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.661246367663990497e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.535473574735229363e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.447623835037677509e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.848412125311170939e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.734541986260282442e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.504206285784913177e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.081877942630032408e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.582597074212448263e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.623374218263968771e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.289715811813482560e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.658671860822460076e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.748105929056855246e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.975095300599367931e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.720660129057371535e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.718000177512793414e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.053310880962219187e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.872163992571283586e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.740652903259029927e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.090968631816593870e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.890451670230235948e+01,0.000000000000000000e+00,0.000000000000000000e+00
