value,error,error_size
4.876512475259806223e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.879683499148830350e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.776747459442307076e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.098313841288383230e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.189520672202847607e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.036643975967412956e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.039010369994738880e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.959696375963260806e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.018616229922497496e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.072892628566228979e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.116695509613400361e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.154153449559693456e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.338250662595650198e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.195074537519614921e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.102450682764423107e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.084756952012021003e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.180509721071612006e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.074185611082878467e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.863439811904969901e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.146128481410051592e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.393362444861218563e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.830071174050748084e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.175187191616371507e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.081621702516351036e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.527523006922569948e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.168676301851897392e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.146933544258862980e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.343572867943752414e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.374672520648300633e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.424088981104480212e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.619213209233441120e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.971791716950139772e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.993781420531757931e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.170759541213951138e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.487308859711846765e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.323779109067461945e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.698913788454618157e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.211648277566285969e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.419268552329754840e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.235836193691060458e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.563394504066497603e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.068196717481489344e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.562905554529248064e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.254093570977116912e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.282774771439927264e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.194177707916073672e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.622155296745394537e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.630843646897184840e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.328365230619543524e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.274320675209443721e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.279549582920177642e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.258250196841264312e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.676397245786021273e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.509077519815549095e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.467527852676372646e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.350042119863985590e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.324222277544168946e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.708609898192455034e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.372965591864225132e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.345655274019929948e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.577107382606037334e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.636505496437460039e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.269421859756826620e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.236527458425693737e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.212976033907115436e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.425864266134067293e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.567557922842196660e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.369224089390449706e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.501854948245094334e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.835028702887917973e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.321093688671170696e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.541949487432663091e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.370438508414098067e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.597629389501340569e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.238090469122573722e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.498695401274967764e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.657308893459768484e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.713211834496273411e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.420506041840683764e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.629060722618460488e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.602232824613572859e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.960448839545004773e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.802744896569946320e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.542494568194674542e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.681247210261173564e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.568714664283385218e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.658135007916421699e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.715929115351804057e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.812539806861161651e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.012303755349858392e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.974571598902755909e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.615579760834907574e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.791611745652028276e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.657199068526378483e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.729829102523263629e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.651577339456037663e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.784965036489541745e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.563653463781096775e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.754554354881424416e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.581192745483826911e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.883546441885528111e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.611613157726824141e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.903780087451754355e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.915944124338857080e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.127735176221820268e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.110420391489287795e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.676774637678062874e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.565885825386610009e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.141129231326196702e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.931941964695831615e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.275241782546537905e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.563436414872189317e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.943733531796796399e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.112213979660481300e+01,0.000000000000000000e+00,0.000000000000000000e+00
