value,error,error_size
4.920548561155932532e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.848259180832777560e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.132103718486514765e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.638191175718083770e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.341022010940116616e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.833525593315771118e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.299089710104801298e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.413791903684762019e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.987263285769023469e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.220579292762465684e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.675163725397225534e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.874958226861908628e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.903588201119646328e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.098625324897508193e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.186752135669270558e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.524070993296160736e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.890023439744633293e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.922090670114819488e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.496359567131086266e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.077780103544416335e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.961525222096069854e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.429494422592458136e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.216531045771485253e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.174107874434279353e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.068958226233478115e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.011909366803416788e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.521264169980143066e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.337481860919550769e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.192295205690039950e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.471462080194493893e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.252508830229930936e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.836481511641927256e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.284171715268213632e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.247388439707271601e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.112427085621429512e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.446317190245023454e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.171454870431758621e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.117923552003774290e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.590305926316428753e+01,0.000000000000000000e+00,0.000000000000000000e+00
