value,error,error_size
4.696119029300174930e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.912081875317011281e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.401004478064834302e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.993681536418951339e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.981742573543674979e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.065773447279706687e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.195102809079682515e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.117951312188028368e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.475789480974874124e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.982722900074153216e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.017051517987933096e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.336785854342167568e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.048683849877733110e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.971510408328138197e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.179782505862080910e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.889885496520307129e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.069559602125171693e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.596236514489895342e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.076461376686506810e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.340502930465569165e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.288592967304506942e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.019460306708406705e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.706786824800515490e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.805669703866318798e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.190412987292553737e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.338393401227509116e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.324378535361239528e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.346287438967384276e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.436641716346230879e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.136416530089375954e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.120876477526831394e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.297320713804327141e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.816240017507886506e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.420736480446651484e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.061657605518905001e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.083459585261336855e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.310672448848925598e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.408223445383739403e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.307344933770232132e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.227932218743490012e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.837516036400216990e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.617985776387875774e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.411565639297592156e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.839435641879791206e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.114790184524898109e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.538579282431337703e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.269380584212762386e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.230345800865730865e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.718145304779763194e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.926275745061178668e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.535541817454750912e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.525339154738929182e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.580295687881553590e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.194178463025458825e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.271810672485915461e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.217119959604727342e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.407154634833553075e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.995253212824015776e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.553484565931258743e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.459523285245703050e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.603240534122162586e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.279242430323620283e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.696420991598281347e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.518858294957367860e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.281997878112614586e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.674371556947761519e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.701395579836150773e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.258069188807446181e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.915896397820685593e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.532989630745855436e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.255683674138282413e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.184644274918765205e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.703660419203083620e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.478653560297817648e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.270466305696037068e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.478372350844757221e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.448831414021207564e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.479347652933433466e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.805303498292909836e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.513510475388081034e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.505643101284321261e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.636368719411086659e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.561245270798074358e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.832802934356987379e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.961350111997699486e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.223459539697641674e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.002023716302224443e+01,0.000000000000000000e+00,0.000000000000000000e+00
