value,error,error_size
4.828647296610258621e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.181323156743653868e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.394617856850479143e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.161219866652432131e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.032617389021978482e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.254475533979435653e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.054824629063959662e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.988290218173061419e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.316102354979221900e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.750006682486460363e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.911739655107518843e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.940687126200234758e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.175609524111656157e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.171136869039547435e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.187139023110189839e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.291070544841245749e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.121827145429370631e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.102016446323123233e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.979465550813359442e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.129978487020586897e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.657111726048650269e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.886154559326472935e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.155332836135890062e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.312897716369803902e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.250053229331658855e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.428270509677791722e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.391030286638316937e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.225194195978016154e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.526671164396636016e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.106896897880917408e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.262894334416625242e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.513863587679441025e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.176856724124959896e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.943798181467078479e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.067246945247715217e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.413466207805531383e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.402591439749488700e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.182715513895629300e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.176965168309389753e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.416232971404977548e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.318569624948309382e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.364419650400282080e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.138273335408699438e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.475928264108861043e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.656464953350139524e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.548258907949411167e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.361072490436974647e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.288923085697420134e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.296263749219701822e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.584506934426373448e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.214255481074378196e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.480450306341639077e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.711682261440893171e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.856855396972188998e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.437567999854756806e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.623235527715937820e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.436299391863185804e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.761869534259009384e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.561236983428891989e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.771715369397487905e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.327172582429032843e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.605848635541587299e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.330855789704923353e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.408513373616106890e+01,0.000000000000000000e+00,0.000000000000000000e+00
