value,error
4.597898527925755729e+01,0.000000000000000000e+00
4.858485773141855191e+01,0.000000000000000000e+00
4.891031657032197444e+01,0.000000000000000000e+00
5.307810687283504336e+01,0.000000000000000000e+00
4.976074863647014013e+01,0.000000000000000000e+00
4.986531872185034331e+01,0.000000000000000000e+00
5.160104025862771948e+01,0.000000000000000000e+00
4.424451128871042727e+01,0.000000000000000000e+00
4.976677005097537432e+01,0.000000000000000000e+00
4.934792544721727836e+01,0.000000000000000000e+00
5.069065537733544602e+01,0.000000000000000000e+00
4.738925681056406347e+01,0.000000000000000000e+00
5.517967367695702308e+01,0.000000000000000000e+00
5.255339983776902812e+01,0.000000000000000000e+00
5.292007675892253360e+01,0.000000000000000000e+00
5.297041075439761215e+01,0.000000000000000000e+00
5.320720586207181668e+01,0.000000000000000000e+00
5.108820277381457231e+01,0.000000000000000000e+00
5.404868169971064162e+01,0.000000000000000000e+00
4.848143726110277640e+01,0.000000000000000000e+00
5.217039504227177815e+01,0.000000000000000000e+00
4.918180138882907215e+01,0.000000000000000000e+00
4.993340734582801588e+01,0.000000000000000000e+00
5.431613099153875623e+01,0.000000000000000000e+00
5.136704452181146507e+01,0.000000000000000000e+00
4.856108642282067933e+01,0.000000000000000000e+00
5.184548945202777759e+01,0.000000000000000000e+00
4.618595217800580599e+01,0.000000000000000000e+00
5.173357254101475178e+01,0.000000000000000000e+00
5.514998888665826371e+01,0.000000000000000000e+00
5.443021444763092376e+01,0.000000000000000000e+00
4.877754470071612047e+01,0.000000000000000000e+00
5.428350130225670966e+01,0.000000000000000000e+00
5.282673087165625958e+01,0.000000000000000000e+00
5.368965896187823006e+01,0.000000000000000000e+00
5.464192059060520279e+01,0.000000000000000000e+00
5.267211360074697524e+01,0.000000000000000000e+00
5.353025183278263199e+01,0.000000000000000000e+00
5.068178575768433802e+01,0.000000000000000000e+00
5.581002008397944536e+01,0.000000000000000000e+00
5.443836691896044755e+01,0.000000000000000000e+00
5.633142875258205606e+01,0.000000000000000000e+00
5.404283178116015307e+01,0.000000000000000000e+00
5.193046683840998412e+01,0.000000000000000000e+00
5.181516801325729205e+01,0.000000000000000000e+00
5.356691954483964935e+01,0.000000000000000000e+00
5.286781789168561119e+01,0.000000000000000000e+00
4.957889102611818544e+01,0.000000000000000000e+00
5.503652244388846526e+01,0.000000000000000000e+00
5.540076123380627138e+01,0.000000000000000000e+00
5.379261218182638515e+01,0.000000000000000000e+00
5.430620441098513140e+01,0.000000000000000000e+00
5.277108907866301024e+01,0.000000000000000000e+00
5.182837838490028304e+01,0.000000000000000000e+00
5.267265658460416233e+01,0.000000000000000000e+00
5.261439304011723550e+01,0.000000000000000000e+00
5.726415772763969869e+01,0.000000000000000000e+00
5.199353723695980278e+01,0.000000000000000000e+00
5.664437744092194293e+01,0.000000000000000000e+00
5.584927960127424029e+01,0.000000000000000000e+00
5.614903671923769934e+01,0.000000000000000000e+00
5.649656089701676365e+01,0.000000000000000000e+00
5.466384766645706605e+01,0.000000000000000000e+00
5.559875382800849763e+01,0.000000000000000000e+00
5.677521678619901024e+01,0.000000000000000000e+00
5.669230353010476620e+01,0.000000000000000000e+00
5.548874694706964306e+01,0.000000000000000000e+00
5.545996082926308191e+01,0.000000000000000000e+00
5.849288905644129954e+01,0.000000000000000000e+00
5.539922039067442228e+01,0.000000000000000000e+00
5.804623220721313714e+01,0.000000000000000000e+00
5.634822441824361050e+01,0.000000000000000000e+00
5.458910473662774621e+01,0.000000000000000000e+00
6.078384878860832430e+01,0.000000000000000000e+00
5.673636417407899302e+01,0.000000000000000000e+00
5.825453204872260216e+01,0.000000000000000000e+00
5.679155398414972211e+01,0.000000000000000000e+00
5.463870383709020473e+01,0.000000000000000000e+00
5.505520572504183718e+01,0.000000000000000000e+00
5.692116155815594425e+01,0.000000000000000000e+00
5.378476085509028337e+01,0.000000000000000000e+00
5.880652651337545223e+01,0.000000000000000000e+00
5.467303652680962500e+01,0.000000000000000000e+00
5.546890529558683625e+01,0.000000000000000000e+00
5.467746514425051174e+01,0.000000000000000000e+00
5.577894423001875168e+01,0.000000000000000000e+00
5.545979265738440489e+01,0.000000000000000000e+00
5.532322762703673646e+01,0.000000000000000000e+00
